"lang"
{
	"Language"		"English"
		"npc_dota_hero_earthshaker" 		"ARSEN MARKARYAN"
		"npc_dota_hero_furion" 				"NIX"
		"npc_dota_hero_antimage" 			"SEREGA PIRAT"
		"npc_dota_hero_clinkz" 				"HACKER" 
		"npc_dota_hero_ogre_magi" 			"IVAN ZOLO"
		"npc_dota_hero_skeleton_king" 		"PAPICH"
		"npc_dota_hero_ancient_apparition" 	"CHILL GUY"
		"npc_dota_hero_bloodseeker" 		"SASAVOT"
		"npc_dota_hero_rattletrap" 			"IGOR VIKHORKOV"
		"npc_dota_hero_storm_spirit" 		"ROSTISLAV_999"
		"npc_dota_hero_necrolyte" 			"5OPKA"
		"npc_dota_hero_faceless_void" 		"EVELONE"
		"npc_dota_hero_slark" 		  		"BRATISHKIN"
		"npc_dota_hero_weaver"				"AZAZIN KREET"
		"npc_dota_hero_riki"				"STRAY228"
		"npc_dota_hero_omniknight"			"STINT"
		"npc_dota_hero_morphling" 			"SANS"
		"npc_dota_hero_void_spirit"			"SINISTER MARK"
		"npc_dota_hero_mars"				"ZHENYA PRO DOTKU"
		"npc_dota_hero_phantom_lancer"		"GOPNIK"
		"npc_dota_lone_druid_bear1" "SAM"
		"npc_dota_lone_druid_bear2" "SAM"
		"npc_dota_lone_druid_bear3" "SAM"
		"npc_dota_lone_druid_bear4" "SAM"
		"npc_dota_elixir_collector" "ELIXIR COLLECTOR"
		"npc_dota_c4_bomb"	"C4"
		"npc_bombardiro"	"BOMBARDIRO CROCODILO"
		"npc_rivendare" "Baron Rivendare"
		"npc_murloc" "Murloc Warlord"
		"npc_hamster" "HAMSTER KOMBAT"
		"npc_subo" "Subo"
		"npc_peashooter_1" "PEASHOOTER"
		"npc_peashooter_freeze" "SNOW PEASHOOTER"
		"npc_telka" "Slut"
		"npc_ashab_car" "Car"
		"npc_batya" "Dad"
		"npc_dota_neutral_harpy_scout" "MINION"
		"npc_dota_neutral_harpy_storm" "EVIL MINION"
		"npc_gaster_blaster"						"Gaster Blaster"
		"npc_kolyan_guard"				"Bodyguard"
		"npc_dota_hero_undying_npedesc1"			"Difficulty: HIGH"
		"npc_dota_hero_invoker_npedesc1"			"Difficulty: HIGH"
		"npc_dota_hero_axe_npedesc1"				"Difficulty: LOW"
		"npc_dota_hero_tinker_npedesc1"				"Difficulty: MEDIUM"
		"npc_dota_hero_riki_npedesc1"				"Difficulty: LOW"
		"npc_dota_hero_brewmaster_npedesc1"			"Difficulty: LOW"
		"npc_dota_hero_pudge_npedesc1"				"Difficulty: MEDIUM"
		"npc_dota_hero_meepo_npedesc1"				"Difficulty: LOW"
		"npc_dota_hero_monkey_king_npedesc1"		"Difficulty: LOW"
		"npc_dota_hero_kunkka_npedesc1"				"Difficulty: LOW"
		"npc_dota_hero_terrorblade_npedesc1"		"Difficulty: MEDIUM"
		"npc_dota_hero_sniper_npedesc1"				"Difficulty: LOW"
		"npc_dota_hero_lion_npedesc1"				"Difficulty: MEDIUM"
		"npc_dota_hero_rubick_npedesc1"				"Difficulty: HIGH"
		"npc_dota_hero_phoenix_npedesc1"			"Difficulty: MEDIUM"
		"npc_dota_hero_ursa_npedesc1"				"Difficulty: MEDIUM"
		"npc_dota_hero_zuus_npedesc1"				"Difficulty: MEDIUM"
		"npc_dota_hero_tidehunter_npedesc1"			"Difficulty: LOW"
		"npc_dota_hero_earthshaker_npedesc1"		"Difficulty: LOW"
		"npc_dota_hero_furion_npedesc1"				"Difficulty: MEDIUM"
		"npc_dota_hero_clinkz_npedesc1"				"Difficulty: MEDIUM"
		"npc_dota_hero_antimage_npedesc1"			"Difficulty: MEDIUM"
		"npc_dota_hero_ogre_magi_npedesc1"			"Difficulty: LOW"
		"npc_dota_hero_juggernaut_npedesc1"			"Difficulty: LOW"
		"npc_dota_hero_rattletrap_npedesc1"			"Difficulty: LOW"
		"npc_dota_hero_skeleton_king_npedesc1"		"Difficulty: HIGH"
		"npc_dota_hero_bloodseeker_npedesc1"		"Difficulty: MEDIUM"
		"npc_dota_hero_storm_spirit_npedesc1"		"Difficulty: MEDIUM"
		"npc_dota_hero_ancient_apparition_npedesc1"	"Difficulty: LOW"
		"npc_dota_hero_necrolyte_npedesc1"			"Difficulty: LOW"
		"npc_dota_hero_morphling_npedesc1"			"Difficulty: MEDIUM"
		"npc_dota_hero_faceless_void_npedesc1"		"Difficulty: MEDIUM"
		"npc_dota_hero_slark_npedesc1"				"Difficulty: MEDIUM"
		"npc_dota_hero_weaver_npedesc1"				"Difficulty: LOW"
		"npc_dota_hero_riki_npedesc1"				"Difficulty: MEDIUM"
		"npc_dota_hero_omniknight_npedesc1"			"Difficulty: MEDIUM"
		"npc_dota_hero_void_spirit_npedesc1"		"Difficulty: LOW"
		"npc_dota_hero_mars_npedesc1"				"Difficulty: LOW"
		"npc_dota_hero_phantom_lancer_npedesc1"		"Difficulty: LOW"
		"npc_dota_hero_bounty_hunter_npedesc1" 		"Difficulty: DEPENDS ON YOUR LUCK"

		"dota_tooltip_ability_special_bonus_unique_kolyan_1" "+{s:bonus_duration} sec duration of CHERKASHI"
		"dota_tooltip_ability_special_bonus_unique_kolyan_2" "+{s:bonus_attack_damage}% attack damage ELBOW WORK"
		"dota_tooltip_ability_special_bonus_unique_kolyan_3" "ADIDAS gives +{s:bonus_magic_resist}% magic resistance"
		"dota_tooltip_ability_special_bonus_unique_kolyan_4" "+{s:bonus_quill_stack_duration} sec duration of SEEDS"
		"dota_tooltip_ability_special_bonus_unique_kolyan_5" "+{s:bonus_quill_stack_damage} additional damage for the SEEDS effect"
		"dota_tooltip_ability_special_bonus_unique_kolyan_6" "+{s:bonus_bonus_attack_range} attack range of ELBOW WORK"
		"dota_tooltip_ability_special_bonus_unique_kolyan_7" "Immune to the effects of ELBOW WORK"
		"dota_tooltip_ability_special_bonus_unique_kolyan_7_description" "Also gives +{s:bonus_immune}% magic resistance"
		"dota_tooltip_ability_special_bonus_unique_kolyan_8" "+{s:bonus_num} guard from DEPUTY"
		"dota_tooltip_facet_kolyan_stacks" "BADDY FITTING"
		"dota_tooltip_facet_kolyan_stacks_description" "Hitting an enemy with seeds applies 1 stack of the CHERKASHI ability to them."
		"dota_tooltip_facet_kolyan_vision" "ATTENTIVE GUARD"
		"dota_tooltip_facet_kolyan_vision_description" "Guards have the True Sight effect."
		"dota_tooltip_ability_kolyan_innate" "ADIDAS"
		"dota_tooltip_ability_kolyan_innate_description" "The native Adidas suit gives Kolyan an advantage in battle - after each enemy kill, he gains evasion and restores health."
		"dota_tooltip_ability_kolyan_innate_evasion" "%ADDITIONAL EVASION:"
		"dota_tooltip_ability_kolyan_innate_hp_regen" "ADDITIONAL HEALTH REGENERATION:"
		"dota_tooltip_ability_kolyan_innate_duration" "DURATION:"
		"dota_tooltip_modifier_kolyan_innate_buff" "Adidas"
		"dota_tooltip_modifier_kolyan_innate_buff_description" "Evasion increased by %dMODIFIER_PROPERTY_EVASION_CONSTANT%%%, health regeneration by %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT%"
		"dota_tooltip_ability_kolyan_q" "ELBOW WORK"
		"dota_tooltip_ability_kolyan_q_description" "INTERRUPTIBLE - Kolyan begins elbowing, attacking all enemies in range every %attack_interval% sec."
		"dota_tooltip_ability_kolyan_q_duration" "DURATION:"
		"dota_tooltip_ability_kolyan_q_attack_damage_tooltip" "%ATTACK DAMAGE:"
		"dota_tooltip_ability_kolyan_q_bonus_attack_range" "ADDITIONAL ATTACK RANGE:"
		"dota_tooltip_ability_kolyan_q_shard_Description" "Allows movement and casting spells while the ability is active. Enemies can still interrupt it. The hero moves at a fixed speed of %movespeed%."
		"dota_tooltip_modifier_kolyan_q" "Works with elbows"
		"dota_tooltip_ability_kolyan_w" "SEEDS"
		"dota_tooltip_ability_kolyan_w_description" "Kolyan spits seeds, hitting all enemies in a cone %angle% degrees in front of him. Victims take additional damage and slow for each seed hit in the last %quill_stack_duration% sec."
		"dota_tooltip_ability_kolyan_w_radius" "RANGE:"
		"dota_tooltip_ability_kolyan_w_quill_base_damage" "BASE DAMAGE:"
		"dota_tooltip_ability_kolyan_w_quill_stack_damage" "ADDITIONAL DAMAGE PER EFFECT:"
		"dota_tooltip_ability_kolyan_w_slow" "%SLOW PER EFFECT:"
		"dota_tooltip_ability_kolyan_w_armor" "ARMOR REDUCTION PER EFFECT:"
		"dota_tooltip_ability_kolyan_w_quill_stack_duration" "DURATION OF ONE EFFECT:"
		"dota_tooltip_ability_kolyan_w_facet_kolyan_stacks" "Hit seeds on an enemy, applying 1 stack of the current level of the CHERKASHI ability to them."
		"dota_tooltip_modifier_kolyan_w" "Seeds"
		"dota_tooltip_modifier_kolyan_w_description" "You were hit by seeds! Movement speed is reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"
		"dota_tooltip_ability_kolyan_e" "CHERKASHI"
		"dota_tooltip_ability_kolyan_e_description" "With each attack, Kolyan steals intelligence from enemies, turning it into a bonus to all attributes. Also, with a chance of %swap_chance%%%, Kolyan can swap enemy abilities for %swap_duration% sec."
		"dota_tooltip_ability_kolyan_e_int_loss" "INTELLIGENCE LOSS PER ATTACK:"
		"dota_tooltip_ability_kolyan_e_all_gain" "BONUS TO ALL ATTRIBUTES PER ATTACK:"
		"dota_tooltip_ability_kolyan_e_duration" "DURATION:"
		"dota_tooltip_modifier_kolyan_e" "Cherkashi"
		"dota_tooltip_modifier_kolyan_e_description" "Attributes increased by %dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%"
		"dota_tooltip_modifier_kolyan_e_debuff" "Cherkashi"
		"dota_tooltip_modifier_kolyan_e_debuff_description" "Intelligence decreased by %dMODIFIER_PROPERTY_STATS_INTELLECT_BONUS%"
		"dota_tooltip_modifier_kolyan_e_abilities" "Abilities are mixed"
		"dota_tooltip_ability_kolyan_r" "DEPUTY"
		"dota_tooltip_ability_kolyan_r_description" "Kolyan becomes a deputy: he gets %num% personal guards who follow him and shoot at all enemies near Kolyan. The guards fire 5 shots per second."
		"dota_tooltip_ability_kolyan_r_duration" "DURATION:"
		"dota_tooltip_ability_kolyan_r_damage" "SHOT DAMAGE:"
		"dota_tooltip_ability_kolyan_r_radius" "TARGET SEARCH RADIUS:"
		"dota_tooltip_ability_kolyan_r_scepter_description" "For each shot, the guards restore Kolyan's health equal to %lifesteal%%% of the damage dealt."
		"dota_tooltip_ability_kolyan_r_facet_kolyan_vision" "The guards have True Sight."

		"dota_tooltip_ability_special_bonus_unique_zhenya_1" 	"-{s:bonus_AbilityCooldown} sec. ZHENYA PRO OTSOS Cooldown"
		"dota_tooltip_ability_special_bonus_unique_zhenya_2" 	"+{s:bonus_duration} sec. MUKBANG Duration"
		"dota_tooltip_ability_special_bonus_unique_zhenya_3" 	"+{s:bonus_hpregen} PUSSY Health Regeneration Per Stack"
		"dota_tooltip_ability_special_bonus_unique_zhenya_4"	"+{s:bonus_radius} ZHENYA PRO OTSOS Radius"
		"dota_tooltip_ability_special_bonus_unique_zhenya_5"	"+{s:bonus_radius} 200 KG Radius"
		"dota_tooltip_ability_special_bonus_unique_zhenya_6" 	"EAT deals damage from attack"
		"dota_tooltip_ability_special_bonus_unique_zhenya_7"    "MUKBANG reduces enemies' strength"
		"dota_tooltip_ability_special_bonus_unique_zhenya_8" 	"+{s:bonus_maxstack} PUSSY Max Stacks"
		"dota_tooltip_ability_zhenya_r"							"EAT"
		"dota_tooltip_ability_zhenya_r_facet_zhenya_facet_r"	"While using the ability, the hero can pass through obstacles."
		"dota_tooltip_ability_zhenya_r_Description" 			"After a delay of %start_time% sec., Zhenya begins to eat selected enemies, receiving additional movement speed. An enemy caught in the stomach receives periodic damage, which depends on Zhenya's strength and heals him. The hero cannot use items."
		"dota_tooltip_ability_zhenya_r_duration"				"DURATION:"
		"dota_tooltip_ability_zhenya_r_base_damage"				"BASE DAMAGE:"
		"dota_tooltip_ability_zhenya_r_strength_damage"			"%STRENGTH DAMAGE:"
		"dota_tooltip_ability_zhenya_r_bonus_ms"				"%BONUS MOVEMENT SPEED:"
		"dota_tooltip_ability_zhenya_r_shard_description"		"Allows you to use all items except the Town Portal Scroll, BYE-BYE and BYE-BYE BOOTS"
		"dota_tooltip_modifier_zhenya_r_caster" 				"Eat"
		"dota_tooltip_modifier_zhenya_r_caster_description" 	"Zhenya eats all enemies when attacking"
		"dota_tooltip_modifier_zhenya_r_target" 				"Zhenya ate you!"
		"dota_tooltip_modifier_zhenya_r_target_description" 	"You are in Zhenya's stomach and receive periodic damage"
		"dota_tooltip_ability_zhenya_e"							"PUSSY"
		"dota_tooltip_ability_zhenya_e_Description"				"Zhenka constantly endures the ridicule of his viewers. Every time he takes damage from attacks, he tries to endure it, accumulating an effect that gives armor and magic resistance."
		"dota_tooltip_ability_zhenya_e_duration"				"STACK DURATION:"
		"dota_tooltip_ability_zhenya_e_armor"					"BONUS ARMOR:"
		"dota_tooltip_ability_zhenya_e_magicarmor"				"%BONUS MAGIC RESISTANCE:"
		"dota_tooltip_ability_zhenya_e_maxstack"				"MAX STACKS:"
		"dota_tooltip_modifier_zhenya_e_passive"				"Pussy"
		"dota_tooltip_modifier_zhenya_e_passive_description"	"Armor and magic resistance increased"
		"dota_tooltip_ability_zhenya_w"							"MUKBANG"
		"dota_tooltip_ability_zhenya_w_description"				"Zhenya places his favorite food at the selected point, which within %radius% radius increases the strength of all allied heroes every second. When leaving the radius, the effect lasts for %aura_duration% sec."
		"dota_tooltip_ability_zhenya_w_duration"				"DURATION:"
		"dota_tooltip_ability_zhenya_w_radius"					"RADIUS:"
		"dota_tooltip_ability_zhenya_w_strength"				"BONUS STRENGTH PER SECOND:"
		"dota_tooltip_modifier_zhenya_w_enemy_debuff"			  	"Mukbang"
		"dota_tooltip_modifier_zhenya_w_enemy_debuff_description" 	"Strength reduced by %dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%"
		"dota_tooltip_modifier_zhenya_w_buff"					"Mukbang"
		"dota_tooltip_modifier_zhenya_w_buff_description"		"Strength increased by %dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%"
		"dota_tooltip_ability_zhenya_q"							"ZHENYA PRO OTSOS"
		"dota_tooltip_ability_zhenya_q_facet_zhenya_facet_q"	"The ability slows down victims."
		"dota_tooltip_ability_zhenya_q_slow"					"%SLOW:"
		"dota_tooltip_ability_zhenya_q_Description"				"Zhenya remembers games on Pugna and begins to frantically drain health from enemy heroes within a %radius% radius."
		"dota_tooltip_ability_zhenya_q_damage"					"%MAX HP AS DAMAGE:"
		"dota_tooltip_ability_zhenya_q_duration"				"DURATION:"
		"dota_tooltip_ability_zhenya_q_scepter_description"		"When used, the ability inflicts root on all enemies within the radius."
		"dota_tooltip_ability_zhenya_q_root_duration"			"ROOT DURATION:"
		"dota_tooltip_modifier_zhenya_q_caster"					"Zhenya pro otsos"
		"dota_tooltip_modifier_zhenya_q_caster_description"		"Drains health from all enemies in a radius."
		"dota_tooltip_modifier_zhenya_q_debuff"					"Zhenya pro otsos"
		"dota_tooltip_modifier_zhenya_q_debuff_description"		"Your health is being drained!"
		"dota_tooltip_modifier_zhenya_q_scepter"				"Root"
		"dota_tooltip_ability_zhenya_innate" 					"200 KG"
		"dota_tooltip_ability_zhenya_innate_description" 		"Due to his mass, Zhenya crushes any enemy in his path, causing damage to him."
		"dota_tooltip_ability_zhenya_innate_damage" 			"DAMAGE PER SECOND:"
		"dota_tooltip_ability_zhenya_innate_radius" 			"RADIUS:"
		"dota_tooltip_facet_zhenya_facet_q"						"SECRET TECHNIQUE"
		"dota_tooltip_facet_zhenya_facet_q_description"			"ZHENYA PRO OTSOS slows enemies."
		"dota_tooltip_facet_zhenya_facet_r"						"BRUTAL HUNGER"
		"dota_tooltip_facet_zhenya_facet_r_description"			"While using the EAT ability, the hero can pass through obstacles."

		"dota_tooltip_ability_invincible_q" "POOR ARMSTRONG"
		"dota_tooltip_ability_invincible_q_description" "Sinister Mark taunts his enemy by throwing a bloody hand at them, which on impact will damage them and inflict fear on them, causing them to flee from him."
		"dota_tooltip_ability_invincible_q_damage_base" "BASE DAMAGE:"
		"dota_tooltip_ability_invincible_q_fear_duration" "FEAR DURATION:"
		"dota_tooltip_ability_invincible_q_scepter_description" "This ability is cast on %secondary% additional targets in range, and deals %damage%%% attack damage."
		"dota_tooltip_modifier_invincible_q_debuff" "Fear"
		"dota_tooltip_ability_invincible_w" "FLY"
		"dota_tooltip_ability_invincible_w_buff_attack_speed" "ATTACK SPEED EXTENSION:"
		"dota_tooltip_ability_invincible_w_damage_from_attack" "%ATTACK DAMAGE:"
		"dota_tooltip_ability_invincible_w_description" "After casting, Sinister Mark flies, gaining invulnerability and moving at high speed. If an enemy gets in the way, they take damage and Sinister Mark stops flying and gains attack speed for the remainder of the effect. Creeps take %creep_damage%%% attack damage."
		"dota_tooltip_ability_invincible_w_duration" "FLIGHT DURATION:"
		"dota_tooltip_ability_invincible_w_speed" "FLIGHT SPEED:"
		"dota_tooltip_ability_invincible_w_duration_slow" "ENEMY SLOW DURATION:"
		"dota_tooltip_ability_invincible_w_facet_invincible_facet_fly" "Fly speed is equal to 2x movement speed, and creeps take full damage from the hero's attack."
		"dota_tooltip_ability_special_bonus_unique_invincible_2" "+{s:bonus_AbilityCastRange} to POOR ARMSTRONG range"
		"dota_tooltip_ability_special_bonus_unique_invincible_3" "+{s:bonus_bonus_damage} to CANNIBALISM damage"
		"dota_tooltip_ability_special_bonus_unique_invincible_4" " +{s:bonus_bonus_as} to attack speed during YOU'RE DEAD!" "dota_tooltip_ability_special_bonus_unique_invincible_5" "+{s:bonus_speed} to FLY speed"
		"dota_tooltip_ability_special_bonus_unique_invincible_6" "-{s:bonus_AbilityCooldown} sec. CANNIBALISM cooldown"
		"dota_tooltip_ability_special_bonus_unique_invincible_7" "+{s:bonus_chain_dur} sec. YOU'RE DEAD chain duration!" "dota_tooltip_ability_special_bonus_unique_invincible_8" "+{s:bonus_duration} sec to FLY duration"
		"dota_tooltip_facet_invincible_facet_fly" "Shadow Veil"
		"dota_tooltip_facet_invincible_facet_fly_description" "Fly speed is equal to 2x hero speed, and creeps take full damage from the attack."
		"dota_tooltip_facet_invincible_facet_heal" "SAVAGE"
		"dota_tooltip_facet_invincible_facet_heal_description" "CANNIBALISM restores health to all allies near the hero."
		"dota_tooltip_modifier_invincible_w" "Flight"
		"dota_tooltip_modifier_invincible_w_buff_attack_speed" "Flight"
		"dota_tooltip_modifier_invincible_w_buff_attack_speed_description" "Attack speed increased by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%"
		"dota_tooltip_modifier_invincible_w_debuff" "Flight"
		"dota_tooltip_modifier_invincible_w_debuff_description" "Movement speed decreased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"
		"dota_tooltip_modifier_invincible_w_description" ""
		"dota_tooltip_ability_invincible_e" "CANNIBALISM"
		"dota_tooltip_ability_invincible_e_description" "Sinister Mark latches onto an enemy, dealing bonus physical damage and healing himself for %lifesteal%%% of the damage dealt."
